wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
350	0.013626431	0.011811326	0.011985185	0.009455384	0.011428334	0.014053286	0.012190126	0.011185663	0.014249629
351	0.013626717	0.01183565	0.011976175	0.00942096	0.011418238	0.014023674	0.012205229	0.011154555	0.014218844
352	0.013624093	0.011853801	0.011965839	0.009389405	0.011404679	0.013998091	0.012217006	0.011126743	0.014191617
353	0.01361856	0.011865778	0.011954179	0.009360719	0.011387656	0.013976536	0.012225456	0.011102227	0.014167947
354	0.013610116	0.01187158	0.011941195	0.0093349	0.01136717	0.013959009	0.01223058	0.011081006	0.014147834
355	0.013598762	0.011871208	0.011926886	0.00931195	0.011343221	0.013945511	0.012232376	0.011063081	0.014131279
356	0.013584498	0.011864662	0.011911252	0.009291868	0.011315808	0.013936041	0.012230846	0.011048452	0.014118281
357	0.013561373	0.011849435	0.011900781	0.009289593	0.011277839	0.013944118	0.012217993	0.011039655	0.014127182
358	0.01354498	0.011835181	0.011887202	0.0092694	0.011247532	0.013958465	0.012209614	0.011030291	0.0141213
359	0.013526572	0.011811473	0.011867508	0.009241984	0.01121306	0.013956377	0.012206814	0.011015856	0.014103852
360	0.013499007	0.011759852	0.011849519	0.00922842	0.011166465	0.013937822	0.012195933	0.011001154	0.014100776
361	0.013478121	0.011726973	0.011837976	0.009232468	0.011142102	0.013921028	0.012181324	0.011015874	0.014093821
362	0.013472251	0.011700464	0.011821	0.009230644	0.011137297	0.013909116	0.012156383	0.011030665	0.014084415
363	0.013477471	0.011676388	0.011802012	0.00920596	0.011134261	0.013904925	0.012126674	0.011026758	0.014071533
364	0.0134746	0.01168475	0.011808141	0.009176431	0.011122317	0.013887175	0.012115379	0.01102277	0.01406275
365	0.013482149	0.01169953	0.0118302	0.009165422	0.011109381	0.013857565	0.012126816	0.011015314	0.014059185
366	0.013501844	0.011711002	0.011862523	0.009164777	0.011104832	0.013836207	0.012144496	0.011011086	0.014057516
367	0.013510244	0.011724431	0.011895395	0.009163943	0.011120151	0.013837643	0.012153907	0.011014592	0.014058499
368	0.013512831	0.01173825	0.011908038	0.00917237	0.011121081	0.013852186	0.012176213	0.011025207	0.014068213
369	0.013514294	0.011750228	0.011916608	0.009170754	0.011115006	0.013865107	0.012189109	0.01102883	0.014087702
370	0.013518076	0.011752377	0.011935966	0.009150077	0.011126059	0.013875688	0.012184581	0.011021384	0.014105203
371	0.013524209	0.011742569	0.011960533	0.009146917	0.011132062	0.013878768	0.012185259	0.0110156	0.014122382
372	0.013533	0.011733474	0.011971812	0.00915566	0.011135339	0.0138856	0.012185513	0.01103202	0.014136063
373	0.013547872	0.011735022	0.011972541	0.009162827	0.011142185	0.013903005	0.012189411	0.011059903	0.014134033
374	0.013565698	0.011730034	0.011974297	0.009156046	0.011141781	0.013908493	0.01220014	0.011059863	0.01412377
375	0.013579155	0.011731772	0.011966125	0.009132919	0.011132137	0.013910966	0.012221103	0.01106652	0.014116593
376	0.013595309	0.011738229	0.01196443	0.009108788	0.011119826	0.013917216	0.012245997	0.011084267	0.014119106
377	0.013621331	0.011729202	0.011975142	0.009105032	0.011115609	0.013923039	0.012260856	0.011090852	0.014134267
378	0.013634456	0.011731521	0.011994045	0.00911243	0.011110797	0.013932367	0.012261029	0.011115572	0.014149038
379	0.013637768	0.011746841	0.012010494	0.009128735	0.011104723	0.013962252	0.012271601	0.011147216	0.014162497
380	0.013643995	0.011763787	0.012012518	0.009160083	0.011102564	0.014009467	0.012310419	0.011173828	0.014178815
381	0.013660549	0.011790447	0.012033023	0.009188767	0.011121974	0.014054539	0.012336133	0.01120458	0.014209783
382	0.013688962	0.011815059	0.012073462	0.009214089	0.011164107	0.014086594	0.012368502	0.011239169	0.014247202
383	0.013724512	0.011834187	0.012118804	0.009253717	0.011209564	0.014122723	0.012423173	0.011286545	0.014282942
384	0.013756704	0.011852571	0.012153922	0.009302141	0.011244013	0.014172953	0.012468165	0.011345383	0.014323077
385	0.013794362	0.011881368	0.012199711	0.009340576	0.011272535	0.014214488	0.012510807	0.011392398	0.014374623
386	0.013840374	0.011913472	0.012257888	0.009363574	0.011305265	0.014250987	0.012556698	0.011422716	0.014430948
387	0.013893615	0.011944217	0.012306006	0.009373915	0.011350058	0.014301014	0.012600597	0.011464573	0.01449607
388	0.013948743	0.011975966	0.012363838	0.009385053	0.011394681	0.014344119	0.012635519	0.011495753	0.014559904
389	0.014009144	0.012011386	0.01243264	0.009398953	0.011431994	0.014392071	0.012659713	0.011525083	0.014624179
390	0.014069176	0.012063631	0.012496555	0.009421097	0.011463761	0.014455306	0.012688075	0.011576519	0.01468811
391	0.01413862	0.012129805	0.012560522	0.00945974	0.01150616	0.014538752	0.012741724	0.011630678	0.014755347
392	0.014217712	0.012207776	0.012633009	0.009511006	0.011564921	0.014631745	0.012810374	0.011699039	0.014829793
393	0.014311636	0.012296412	0.012720783	0.009568689	0.011643585	0.014721097	0.012881322	0.011794242	0.014917712
394	0.014422305	0.012383173	0.012815626	0.009629015	0.011739465	0.014805656	0.012966304	0.011895033	0.015017541
395	0.014531802	0.012469926	0.012903586	0.009701249	0.011830265	0.014899822	0.013050966	0.011997229	0.015124399
396	0.014646644	0.012564256	0.012987967	0.009784683	0.011907637	0.015007926	0.013132634	0.012102771	0.015238497
397	0.014778438	0.012667292	0.013081146	0.009858561	0.011984876	0.015111033	0.013221572	0.012209899	0.015364099
398	0.014907808	0.012766812	0.01318152	0.009932018	0.012073396	0.015228331	0.013316749	0.012319188	0.015497346
399	0.015031228	0.012860663	0.013290836	0.010013113	0.012171929	0.015363692	0.013419157	0.012430966	0.015630309
400	0.015149798	0.012957773	0.013409442	0.010101036	0.012268348	0.01550309	0.013529591	0.012540061	0.015761818
401	0.015279975	0.013057051	0.013532395	0.010185313	0.012364431	0.015662771	0.013648945	0.01265537	0.015902015
402	0.015427321	0.013160931	0.013659051	0.010278229	0.012467273	0.015839708	0.013775857	0.012777684	0.016058413
403	0.015584812	0.013277254	0.013794489	0.010390725	0.012585696	0.016023526	0.013912814	0.012909951	0.016227512
404	0.015746267	0.013408664	0.013944683	0.0105154	0.012720253	0.016217986	0.014055833	0.013061404	0.016407361
405	0.015919996	0.013549197	0.014107899	0.010646459	0.012867105	0.016419384	0.014197191	0.013221223	0.016600774
406	0.016105906	0.013696692	0.014281599	0.010779222	0.013020312	0.016629492	0.014341331	0.013386317	0.016807955
407	0.016298486	0.013854322	0.014464325	0.010915096	0.013175911	0.016853333	0.014497965	0.013564383	0.017026233
408	0.016512295	0.014022361	0.014654758	0.011055881	0.013333978	0.017087283	0.014663593	0.013753718	0.017248288
409	0.016739598	0.014197042	0.014852085	0.011201066	0.013500285	0.017332132	0.014837592	0.013952853	0.017475203
410	0.016963849	0.014378289	0.015055629	0.011353201	0.013680399	0.017593305	0.015018762	0.014159814	0.017715668
411	0.017193616	0.014567313	0.015264382	0.011511563	0.013866972	0.01786598	0.015207134	0.014369353	0.017962852
412	0.01743135	0.014759886	0.01547516	0.01167024	0.014057906	0.018145528	0.015398887	0.014581315	0.018211305
413	0.017677203	0.014955174	0.015686519	0.011827225	0.014249162	0.018430435	0.015595096	0.014794095	0.018462256
414	0.017932869	0.015151546	0.015900524	0.011989898	0.014436669	0.018724669	0.015794815	0.015006809	0.018723331
415	0.018191975	0.015349552	0.016115898	0.012159828	0.01463153	0.019023876	0.015994968	0.015226077	0.018989993
416	0.018450003	0.015548014	0.016332117	0.012330896	0.014834406	0.019323102	0.016193891	0.015453671	0.019257445
417	0.018709848	0.015741015	0.016548125	0.012498672	0.015035277	0.019617269	0.016388195	0.015681232	0.019527569
418	0.018969516	0.01593433	0.016771204	0.012666129	0.01523026	0.019913412	0.016588539	0.015909433	0.019800898
419	0.019231448	0.016132134	0.016999371	0.012836401	0.015422724	0.02021512	0.016794622	0.016143081	0.020077429
420	0.019492697	0.016328614	0.017219825	0.013008429	0.015613208	0.020513426	0.016991241	0.016376119	0.020347341
421	0.019748689	0.016522513	0.017438186	0.013184872	0.015810027	0.020814087	0.01718947	0.016608473	0.020613232
422	0.020000692	0.01671906	0.01765214	0.013361982	0.016011401	0.02111307	0.017390457	0.016833727	0.020877723
423	0.020251055	0.016920581	0.01786227	0.0135373	0.016210963	0.021408917	0.017591371	0.017048814	0.021142139
424	0.020495967	0.017115849	0.018073916	0.013706565	0.016406755	0.021706448	0.017788015	0.017262774	0.021402933
425	0.020736783	0.01730509	0.018290875	0.013872214	0.016596426	0.022002518	0.017983533	0.017476118	0.021659137
426	0.020976378	0.017489474	0.018509146	0.014037352	0.016783817	0.022292857	0.018180559	0.017688991	0.021910282
427	0.021215639	0.017667541	0.018718676	0.014202813	0.016980431	0.02257123	0.018373188	0.017904295	0.022155146
428	0.021452667	0.017845344	0.018924787	0.014362451	0.017175031	0.0228388	0.018564012	0.018121159	0.022397879
429	0.021685677	0.018022582	0.019130226	0.014515993	0.017359471	0.023098583	0.018752712	0.018335859	0.022634059
430	0.021912216	0.018197095	0.019334423	0.014668439	0.017533566	0.023351564	0.018936763	0.018543214	0.022858265
431	0.022130776	0.018368217	0.019528767	0.014816769	0.017701116	0.023595231	0.019111827	0.018741912	0.023074775
432	0.022339118	0.018530732	0.019712347	0.014961244	0.017865157	0.023827162	0.019277423	0.018931134	0.023282472
