# wavelength (nm)
4.000000000000000000e+02	1.913077746318693484e-02
4.010000000000000000e+02	1.913431838950711145e-02
4.020000000000000000e+02	1.913819502390465277e-02
4.030000000000000000e+02	1.914351994938018678e-02
4.040000000000000000e+02	1.914904163622533143e-02
4.050000000000000000e+02	1.915698513644193898e-02
4.060000000000000000e+02	1.913130765487911292e-02
4.070000000000000000e+02	1.910559075465502465e-02
4.080000000000000000e+02	1.908478636750290600e-02
4.090000000000000000e+02	1.905845078534236861e-02
4.100000000000000000e+02	1.903165758228417270e-02
4.110000000000000000e+02	1.901379616130409109e-02
4.120000000000000000e+02	1.899607852333218272e-02
4.130000000000000000e+02	1.897456897941424137e-02
4.140000000000000000e+02	1.895839331791727631e-02
4.150000000000000000e+02	1.894202565332937099e-02
4.160000000000000000e+02	1.892602956045261881e-02
4.170000000000000000e+02	1.891466078469277237e-02
4.180000000000000000e+02	1.889819078305366232e-02
4.190000000000000000e+02	1.888449002275559285e-02
4.200000000000000000e+02	1.886602634821984981e-02
4.210000000000000000e+02	1.885476091803383811e-02
4.220000000000000000e+02	1.884211034532261991e-02
4.230000000000000000e+02	1.882422336829649850e-02
4.240000000000000000e+02	1.881281748653425290e-02
4.250000000000000000e+02	1.880235996862068132e-02
4.260000000000000000e+02	1.879204547914453682e-02
4.270000000000000000e+02	1.878021797264195838e-02
4.280000000000000000e+02	1.877324882843285983e-02
4.290000000000000000e+02	1.876249218377553860e-02
4.300000000000000000e+02	1.874937647691579667e-02
4.310000000000000000e+02	1.874237223508956260e-02
4.320000000000000000e+02	1.873065725351083163e-02
4.330000000000000000e+02	1.872478294516719335e-02
4.340000000000000000e+02	1.871431820702883914e-02
4.350000000000000000e+02	1.870908143828471301e-02
4.360000000000000000e+02	1.870379622549396201e-02
4.370000000000000000e+02	1.869806950905970183e-02
4.380000000000000000e+02	1.869338919597297866e-02
4.390000000000000000e+02	1.868939626056171852e-02
4.400000000000000000e+02	1.868629107032221404e-02
4.410000000000000000e+02	1.868431511587225619e-02
4.420000000000000000e+02	1.868373566188913024e-02
4.430000000000000000e+02	1.868832407331759080e-02
4.440000000000000000e+02	1.868912507338224560e-02
4.450000000000000000e+02	1.869052627052480986e-02
4.460000000000000000e+02	1.870009770157271545e-02
4.470000000000000000e+02	1.870925798364033929e-02
4.480000000000000000e+02	1.871903076474631250e-02
4.490000000000000000e+02	1.873685271725965620e-02
4.500000000000000000e+02	1.875736190001057666e-02
4.510000000000000000e+02	1.878316933379423070e-02
4.520000000000000000e+02	1.881387382647749240e-02
4.530000000000000000e+02	1.884599302603334747e-02
4.540000000000000000e+02	1.888002404315894042e-02
4.550000000000000000e+02	1.891631638377864674e-02
4.560000000000000000e+02	1.895311464428222140e-02
4.570000000000000000e+02	1.899859527631450606e-02
4.580000000000000000e+02	1.903715222138474897e-02
4.590000000000000000e+02	1.908076249411410838e-02
4.600000000000000000e+02	1.911563628631253453e-02
4.610000000000000000e+02	1.915110783516795270e-02
4.620000000000000000e+02	1.918618390453225020e-02
4.630000000000000000e+02	1.921496572529213936e-02
4.640000000000000000e+02	1.924970970106854376e-02
4.650000000000000000e+02	1.928383777847217373e-02
4.660000000000000000e+02	1.931936656879261471e-02
4.670000000000000000e+02	1.935321228594013426e-02
4.680000000000000000e+02	1.937788546074560234e-02
4.690000000000000000e+02	1.940957263197418473e-02
4.700000000000000000e+02	1.943865281125006783e-02
4.710000000000000000e+02	1.946280657430856861e-02
4.720000000000000000e+02	1.948175898465413780e-02
4.730000000000000000e+02	1.950423456655017360e-02
4.740000000000000000e+02	1.952068129371721181e-02
4.750000000000000000e+02	1.954270980652757228e-02
4.760000000000000000e+02	1.956311425676935528e-02
4.770000000000000000e+02	1.959019666781379801e-02
4.780000000000000000e+02	1.961178475986644076e-02
4.790000000000000000e+02	1.963945529372329579e-02
4.800000000000000000e+02	1.966921298149985897e-02
4.810000000000000000e+02	1.971035370029678227e-02
4.820000000000000000e+02	1.975355732869149908e-02
4.830000000000000000e+02	1.980647164695782669e-02
4.840000000000000000e+02	1.986768332950289775e-02
4.850000000000000000e+02	1.994338433403492275e-02
4.860000000000000000e+02	2.003306095095960110e-02
4.870000000000000000e+02	2.013379413614026572e-02
4.880000000000000000e+02	2.025563738089981858e-02
4.890000000000000000e+02	2.039443648762531008e-02
4.900000000000000000e+02	2.055388261449456536e-02
4.910000000000000000e+02	2.073584428291924339e-02
4.920000000000000000e+02	2.093623343116780486e-02
4.930000000000000000e+02	2.117019670632950754e-02
4.940000000000000000e+02	2.142357587242021619e-02
4.950000000000000000e+02	2.171248594896546188e-02
4.960000000000000000e+02	2.203063267192617927e-02
4.970000000000000000e+02	2.238901914589230477e-02
4.980000000000000000e+02	2.279576938632980193e-02
4.990000000000000000e+02	2.323772686237783255e-02
5.000000000000000000e+02	2.373085745512794678e-02
5.010000000000000000e+02	2.427873391602459324e-02
5.020000000000000000e+02	2.487873436551796963e-02
5.030000000000000000e+02	2.554652177475420435e-02
5.040000000000000000e+02	2.627104972438142408e-02
5.050000000000000000e+02	2.706556220350178621e-02
5.060000000000000000e+02	2.793364611274493439e-02
5.070000000000000000e+02	2.887852388503625578e-02
5.080000000000000000e+02	2.990409093966155465e-02
5.090000000000000000e+02	3.101477451566793733e-02
5.100000000000000000e+02	3.221410961719003985e-02
5.110000000000000000e+02	3.351175059572799458e-02
5.120000000000000000e+02	3.490654177733164970e-02
5.130000000000000000e+02	3.640684560187979618e-02
5.140000000000000000e+02	3.800323096161001279e-02
5.150000000000000000e+02	3.969365860276423408e-02
