wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
399	0.019865012	0.015174449	0.019565055	0.016838251	0.019444043	0.029736631	0.016225034	0.019788814	0.020561464
400	0.020080428	0.015314476	0.019705059	0.016999401	0.019633219	0.030016341	0.016364337	0.019982281	0.020759104
401	0.020300994	0.01545076	0.019843442	0.017163818	0.019832621	0.030295153	0.016510397	0.020186684	0.020954893
402	0.020522814	0.015597583	0.019989416	0.017330461	0.0200435	0.03058662	0.016668614	0.020404753	0.021158967
403	0.020750411	0.015765189	0.020149361	0.017507182	0.02026739	0.030908456	0.01682914	0.020636209	0.021381284
404	0.021007762	0.015935363	0.020319221	0.017703334	0.020505586	0.031264103	0.016997561	0.020888248	0.021625215
405	0.02128912	0.016116147	0.020509561	0.017907432	0.020754575	0.031646034	0.017181005	0.021153424	0.021889172
406	0.021585488	0.01631063	0.020713407	0.018112446	0.021013021	0.032048345	0.017372749	0.021429344	0.022168976
407	0.021898737	0.016511684	0.020920357	0.018327098	0.02128265	0.0324799	0.017570332	0.021717517	0.022470206
408	0.022228867	0.016720654	0.021136202	0.018553828	0.021572782	0.032933805	0.017779018	0.022013872	0.022786606
409	0.02256795	0.016935337	0.021359232	0.018788037	0.021875161	0.033399192	0.017996709	0.022317455	0.023109191
410	0.02291411	0.017156414	0.021584412	0.019026179	0.022176101	0.033872294	0.018221851	0.022629523	0.023435309
411	0.023262893	0.017383605	0.021810191	0.019269577	0.022482561	0.034357207	0.018447187	0.022949392	0.023762375
412	0.02361561	0.017614793	0.022038855	0.019517906	0.022797443	0.03484923	0.018673187	0.023272762	0.024094485
413	0.023974286	0.017848829	0.02227319	0.01977178	0.023120556	0.035340772	0.018905081	0.023601792	0.024434325
414	0.02433397	0.018092619	0.022517536	0.020028687	0.023447276	0.035833802	0.019149855	0.023946537	0.024781832
415	0.024704499	0.018343674	0.02276817	0.020291957	0.023782326	0.036337595	0.019396934	0.024297463	0.025137901
416	0.025090494	0.018598015	0.023024151	0.020562366	0.024123735	0.036856709	0.019642566	0.024653082	0.025503231
417	0.025480041	0.018854017	0.023291418	0.020834147	0.024462577	0.037384228	0.01989705	0.025015582	0.025879296
418	0.025869886	0.019111966	0.023558562	0.021112633	0.024812593	0.037918137	0.020150828	0.025389609	0.026262519
419	0.026266844	0.019376713	0.023828103	0.021404228	0.025176234	0.038462277	0.020408221	0.025775668	0.026651426
420	0.026669711	0.019648264	0.024104184	0.021702962	0.025540879	0.039008485	0.020675366	0.02615785	0.027038819
421	0.027075007	0.019927252	0.024388417	0.022006042	0.025910531	0.039562888	0.020951683	0.026543722	0.027429906
422	0.02748094	0.020211233	0.024676266	0.022311356	0.026286318	0.040122698	0.021234349	0.02693526	0.027824829
423	0.027888235	0.020497084	0.024965154	0.02261924	0.026670292	0.040685756	0.021523471	0.027331839	0.028223842
424	0.028295644	0.02078354	0.025262011	0.022929704	0.027060894	0.041253171	0.021822412	0.027731633	0.028629563
425	0.028704273	0.021073129	0.025566853	0.02324615	0.02746003	0.041828628	0.022131782	0.028138028	0.029039777
426	0.029120103	0.021371631	0.025882661	0.023570731	0.027869193	0.04241916	0.022448762	0.028557012	0.029455573
427	0.02955055	0.021682454	0.026212005	0.023900852	0.028287383	0.043031789	0.022767074	0.028984708	0.029882693
428	0.029995192	0.022004949	0.0265522	0.024235648	0.02870802	0.043667112	0.023085738	0.029423155	0.030321825
429	0.030447944	0.022335309	0.026901534	0.024573912	0.029130993	0.044318522	0.023405388	0.029873595	0.030769191
430	0.030899692	0.022667949	0.02725493	0.02491562	0.029561405	0.044974548	0.023722663	0.030326412	0.03121688
431	0.031344402	0.022998416	0.027605507	0.025258644	0.029989429	0.045622992	0.024038134	0.030774148	0.03165566
432	0.03177734	0.023324311	0.027952613	0.025599008	0.030410902	0.04625441	0.024351821	0.031215916	0.032082676
433	0.032200872	0.023648819	0.028298377	0.025936849	0.0308328	0.046871915	0.024665847	0.031657496	0.032505709
434	0.032615585	0.023970471	0.028639315	0.026272876	0.031251628	0.047475036	0.024979754	0.032096709	0.032925333
435	0.033022177	0.024289284	0.028980263	0.026609761	0.031672335	0.048066426	0.025293722	0.032532462	0.033341119
436	0.03342153	0.024606556	0.029327171	0.026950607	0.032097442	0.048653866	0.025612186	0.032967867	0.033754443
437	0.033818474	0.024927814	0.02968132	0.027297192	0.032527123	0.049247172	0.025939802	0.033409083	0.034169366
438	0.034223193	0.025258997	0.030043082	0.027648063	0.032962113	0.049850872	0.02627267	0.033857073	0.034591102
439	0.034632868	0.025598371	0.030411225	0.028002056	0.033398817	0.050460598	0.026605391	0.034308573	0.035016318
440	0.035046305	0.025944961	0.030788948	0.028365634	0.033841996	0.051081327	0.026941728	0.034764732	0.035446663
441	0.035461708	0.026294652	0.031175698	0.028732701	0.034292226	0.051709128	0.027283565	0.035228687	0.035880635
442	0.035877089	0.026647683	0.031567861	0.029101528	0.034750345	0.052340109	0.02763002	0.035699169	0.036315155
