wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
350	0.013520433	0.012713351	0.014827115	0.010685445	0.012977336	0.014392152	0.01162014	0.014286855	0.012384349
351	0.013512422	0.012731813	0.014826719	0.010712816	0.012991964	0.014421507	0.011577644	0.014313148	0.012377248
352	0.013504936	0.012749743	0.014824334	0.010734094	0.013006116	0.014446077	0.011541969	0.01433329	0.012371611
353	0.013497976	0.012767142	0.014819961	0.010749277	0.013019793	0.014465863	0.011513116	0.01434728	0.01236744
354	0.013491541	0.012784009	0.014813599	0.010758365	0.013032995	0.014480865	0.011491084	0.014355118	0.012364734
355	0.013485631	0.012800345	0.014805249	0.010761359	0.013045721	0.014491083	0.011475873	0.014356804	0.012363493
356	0.013480247	0.012816149	0.014794911	0.010758259	0.013057971	0.014496516	0.011467485	0.014352338	0.012363717
357	0.013462256	0.012849211	0.014782589	0.010740277	0.013076006	0.014511805	0.011465609	0.0143325	0.01238285
358	0.01347041	0.012874176	0.01475837	0.010709098	0.013078292	0.014507596	0.011470211	0.014306769	0.012392407
359	0.013477096	0.012891823	0.014737674	0.010681809	0.013075742	0.01448666	0.011484901	0.014288462	0.012394554
360	0.013468769	0.012890366	0.014727189	0.010664978	0.01308193	0.014453654	0.011499659	0.014275721	0.012393412
361	0.013473018	0.012881021	0.014705695	0.0106515	0.013109845	0.014427073	0.011520269	0.014265528	0.012384204
362	0.013483412	0.012862498	0.01468082	0.010643088	0.013134098	0.014411292	0.011538892	0.014272712	0.012368085
363	0.013493045	0.012850135	0.014663161	0.01064044	0.013149514	0.014403225	0.011542484	0.014296934	0.012353995
364	0.013505416	0.012868574	0.014668738	0.010661638	0.013171048	0.014396849	0.011551442	0.014323558	0.012346141
365	0.013519659	0.012874285	0.014690242	0.010679147	0.013196571	0.014385065	0.011569331	0.014360424	0.012346538
366	0.013531037	0.012856753	0.014703517	0.010693362	0.013224742	0.014387465	0.011588156	0.014393775	0.012355244
367	0.01354934	0.01284564	0.014699696	0.010724572	0.013243531	0.014420271	0.01160324	0.014394033	0.012374344
368	0.013577936	0.01285875	0.014712574	0.010747695	0.013260799	0.014447052	0.011616667	0.014373641	0.012393252
369	0.013614933	0.012871725	0.014722848	0.010758282	0.013275983	0.014456249	0.011639143	0.014358859	0.012400527
370	0.013663774	0.012871632	0.014709732	0.010757038	0.013283611	0.014456367	0.011665624	0.014361689	0.012405372
371	0.013692842	0.012884227	0.014711338	0.010762894	0.01331074	0.014466748	0.011701053	0.014378282	0.012425105
372	0.013709428	0.012902386	0.014715185	0.010772271	0.013355694	0.01447504	0.011736244	0.014386604	0.012443923
373	0.013733302	0.012917388	0.014709509	0.010773405	0.013403005	0.014475262	0.01175797	0.014380407	0.012459361
374	0.01375082	0.012930594	0.014711073	0.010775702	0.013426441	0.014477831	0.01177447	0.01439229	0.012486096
375	0.013757727	0.012960102	0.014728518	0.01078841	0.013434414	0.014486213	0.011793302	0.014412937	0.012518321
376	0.013759195	0.012997942	0.014756217	0.010801169	0.013452218	0.014505908	0.011818411	0.014439398	0.012553396
377	0.013764071	0.013007896	0.014785595	0.010801574	0.013476927	0.014531976	0.011850898	0.014470249	0.012585618
378	0.013776144	0.013009936	0.014803859	0.010813565	0.013501691	0.014572217	0.011882105	0.014492903	0.012624851
379	0.013793205	0.013029411	0.014821573	0.010842075	0.013523657	0.014604492	0.011898895	0.014506253	0.012662841
380	0.013818102	0.013066908	0.014848811	0.010865506	0.013545004	0.014606213	0.011903775	0.014524561	0.012697212
381	0.013845091	0.01308824	0.014859265	0.01088843	0.013584313	0.014610985	0.011929151	0.014560986	0.012727106
382	0.013865369	0.013111126	0.014874749	0.010913568	0.013636463	0.014637098	0.011973719	0.014599657	0.012751958
383	0.013882105	0.013153839	0.014917148	0.010939466	0.013699235	0.014678708	0.01201873	0.014626257	0.012778325
384	0.013901116	0.013197486	0.014964216	0.010965157	0.01376113	0.014707136	0.01205713	0.014646192	0.012799382
385	0.013935165	0.013242321	0.015016671	0.01099606	0.013804629	0.014732511	0.012101993	0.014662304	0.012830093
386	0.013972286	0.01329465	0.01507426	0.011026524	0.013839374	0.014763046	0.012152379	0.014688044	0.012877317
387	0.014003391	0.013356763	0.015138785	0.011057907	0.013881954	0.014798358	0.012207858	0.014725464	0.012926773
388	0.014055094	0.01340688	0.015199366	0.011079478	0.013927268	0.014836369	0.012262237	0.014772373	0.012975024
389	0.014127888	0.013448511	0.015244901	0.011108291	0.013983334	0.014879443	0.012319112	0.014831886	0.013031528
390	0.01421658	0.013496303	0.01528283	0.011163895	0.014046397	0.014925053	0.012377918	0.014901939	0.013105822
391	0.014308218	0.013554059	0.015334815	0.011237708	0.014122826	0.014967067	0.012427269	0.014975412	0.013180929
392	0.014390875	0.013623247	0.015399678	0.011310007	0.014202688	0.015010231	0.01249828	0.015048316	0.013258131
393	0.014465109	0.013697339	0.015470381	0.011368475	0.01428779	0.015071627	0.01259915	0.015121634	0.013339448
394	0.014527615	0.013782285	0.015554826	0.011420284	0.014372418	0.015147877	0.012703262	0.015192187	0.013413307
395	0.014585333	0.013872879	0.015654139	0.011473468	0.014460648	0.015222779	0.012803041	0.015255671	0.013490353
396	0.014647211	0.0139635	0.01576278	0.011533618	0.014551204	0.015293029	0.012900568	0.01532131	0.013572355
397	0.014714188	0.01405403	0.015873248	0.011602557	0.014634448	0.015370352	0.013005405	0.015391008	0.013654442
398	0.014774792	0.014144381	0.015973524	0.011667257	0.014732276	0.01545479	0.013100697	0.015473669	0.013744219
399	0.014844655	0.014239527	0.016066775	0.011728356	0.014842341	0.015538259	0.01318719	0.015576413	0.013843012
400	0.014948955	0.014334427	0.016155883	0.011797251	0.014942311	0.015616014	0.013271835	0.015686638	0.013943802
401	0.015068596	0.014432009	0.016235203	0.011891104	0.015049926	0.015705519	0.013360059	0.015800334	0.014046379
402	0.015201326	0.014533176	0.01631145	0.012003496	0.015172429	0.015813901	0.013449988	0.015924248	0.014155242
403	0.015342451	0.014638811	0.016399904	0.01211818	0.015304394	0.01593588	0.013547485	0.01605503	0.014275092
404	0.015477349	0.014758254	0.01650512	0.012228992	0.015431755	0.016057159	0.013678463	0.016184626	0.014409686
405	0.015608918	0.014889834	0.016619706	0.01234032	0.015567007	0.016181978	0.013819507	0.016323453	0.014550844
406	0.015736743	0.015022071	0.016739709	0.012457948	0.015715298	0.016312979	0.013955237	0.016469786	0.014691635
407	0.015863025	0.015155051	0.016873539	0.012587696	0.015871899	0.016451784	0.014099751	0.016618316	0.014839327
408	0.015996449	0.015293645	0.017021217	0.012722298	0.016029552	0.016597215	0.014253063	0.016776865	0.014994077
409	0.016133846	0.01543378	0.017170742	0.012859644	0.016188106	0.016749559	0.014405653	0.016944839	0.015153473
410	0.016272445	0.015573684	0.017316522	0.013001083	0.016352834	0.016905859	0.014553883	0.017114248	0.015323034
411	0.016413186	0.015718256	0.017464006	0.013145216	0.016513846	0.017051956	0.014709963	0.017284617	0.015500216
412	0.01655748	0.015865833	0.017610891	0.013291702	0.016678676	0.017197968	0.014871081	0.017460514	0.015676999
413	0.016706962	0.01601053	0.017753896	0.013440852	0.016850573	0.01735723	0.015033113	0.017640929	0.015851873
414	0.016868663	0.016154635	0.017896214	0.013592083	0.017025151	0.017527982	0.015199947	0.017828673	0.016033576
415	0.017036448	0.016303133	0.018045248	0.013743934	0.01720423	0.017705037	0.015372531	0.018014969	0.016220324
416	0.017201157	0.016458242	0.018201697	0.013897447	0.01738594	0.017883956	0.01554936	0.018196374	0.016409506
417	0.017361557	0.016619137	0.018357339	0.014054931	0.017570006	0.018066725	0.015722368	0.018384886	0.016597304
