wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
350	0.004573599	0.004492573	0.004070039	0.004898653	0.004706089	0.004521221	0.005009773	0.005820843	0.005410321
351	0.004555789	0.004442878	0.004055837	0.004862999	0.004723208	0.004539034	0.005037732	0.005790811	0.005388555
352	0.004535942	0.004398897	0.004042633	0.004832408	0.004733473	0.00455086	0.005059418	0.005766519	0.005369214
353	0.00451406	0.004360631	0.004030429	0.004806879	0.004736883	0.0045567	0.005074829	0.005747965	0.005352298
354	0.004490142	0.00432808	0.004019225	0.004786412	0.00473344	0.004556554	0.005083966	0.005735151	0.005337806
355	0.004464187	0.004301242	0.00400902	0.004771007	0.004723143	0.004550421	0.005086829	0.005728075	0.005325739
356	0.004436197	0.00428012	0.003999814	0.004760664	0.004705991	0.004538301	0.005083419	0.005726739	0.005316097
357	0.004385384	0.004276858	0.004001697	0.004749856	0.004668193	0.004516706	0.005056936	0.005731808	0.005308081
358	0.004350171	0.00426678	0.003997566	0.004758532	0.004649996	0.004496195	0.005032472	0.005756701	0.005312607
359	0.004325303	0.004254842	0.003987536	0.004775972	0.004631606	0.004480609	0.005025465	0.005792565	0.005321291
360	0.004308591	0.004251827	0.003969194	0.004775212	0.004582857	0.004443454	0.005016276	0.005817728	0.005325229
361	0.004304326	0.00424831	0.00395159	0.004766503	0.004541659	0.004403502	0.00499143	0.005824541	0.005327002
362	0.004307946	0.004246855	0.003933074	0.004759849	0.004520008	0.004376138	0.004964015	0.005825107	0.005326312
363	0.004309947	0.004237131	0.003908012	0.00475897	0.004502761	0.0043612	0.0049545	0.005814939	0.005315535
364	0.004316297	0.004217937	0.003893224	0.004758067	0.004482935	0.004365816	0.004959858	0.005784988	0.005308751
365	0.004333953	0.004194975	0.003878695	0.00473814	0.004485151	0.004380986	0.004984823	0.005774711	0.005310064
366	0.004361604	0.004175375	0.003863536	0.004716761	0.004503565	0.004398736	0.005007598	0.005774375	0.00531097
367	0.004370115	0.004164045	0.003867144	0.00471638	0.004507856	0.004420372	0.005016601	0.005760233	0.005307647
368	0.004368756	0.004151581	0.00386374	0.004721293	0.004502556	0.004435549	0.005021815	0.005764497	0.00529385
369	0.004359227	0.004142688	0.003853756	0.004727179	0.004500664	0.004438966	0.005027753	0.005785584	0.005270703
370	0.004346234	0.00413493	0.003843731	0.004730287	0.004519183	0.004433916	0.005036706	0.005819385	0.005255972
371	0.004340915	0.004117382	0.003840121	0.004728214	0.004538768	0.004435204	0.005035014	0.005850286	0.005253839
372	0.004328637	0.004115211	0.003836665	0.004728343	0.004544731	0.004431318	0.005014826	0.005864407	0.005267894
373	0.004314584	0.004112745	0.003826451	0.004729459	0.004535196	0.004411508	0.004979694	0.005861245	0.005287185
374	0.004320307	0.004095234	0.003816353	0.004727162	0.004523263	0.004391358	0.004948676	0.005854091	0.005297471
375	0.004342814	0.00409305	0.003807886	0.004719111	0.004513465	0.004380746	0.004930288	0.005835668	0.005305949
376	0.00436982	0.004103574	0.003806217	0.004701307	0.004506418	0.004375979	0.004925841	0.005804387	0.005316493
377	0.004388243	0.004114675	0.003817173	0.004671779	0.004508418	0.004376207	0.004930581	0.005787035	0.005335666
378	0.004399952	0.004110988	0.003837605	0.004666682	0.004517227	0.004389149	0.004930462	0.005775099	0.005348651
379	0.00440298	0.004108268	0.00385103	0.004686548	0.00451319	0.004396306	0.004923952	0.005779588	0.005352711
380	0.004388132	0.004116769	0.003843328	0.004697486	0.004505443	0.004387108	0.00493562	0.005814277	0.005350122
